2026-07-27 22:04:32.621 | INFO     | app.api.auth:login:29 - 用户登录成功
2026-07-27 22:04:32.624 | INFO     | app.main:log_requests:35 - POST /api/v1/auth/login → 200 (4.673s)
2026-07-27 22:04:43.341 | WARNING  | app.core.dependencies:get_current_user:70 - Redis 不可用，跳过黑名单检查
2026-07-27 22:04:43.439 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:04:43.459 | INFO     | app.main:log_requests:35 - GET /api/v1/users → 200 (4.200s)
2026-07-27 22:04:50.535 | WARNING  | app.core.dependencies:get_current_user:70 - Redis 不可用，跳过黑名单检查
2026-07-27 22:04:50.547 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:04:50.566 | INFO     | app.main:log_requests:35 - GET /api/v1/roles → 200 (4.076s)
2026-07-27 22:04:58.791 | WARNING  | app.core.dependencies:get_current_user:70 - Redis 不可用，跳过黑名单检查
2026-07-27 22:04:58.804 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:04:58.815 | INFO     | app.main:log_requests:35 - GET /api/v1/users → 200 (4.117s)
2026-07-27 22:05:17.893 | INFO     | app.api.auth:login:29 - 用户登录成功
2026-07-27 22:05:17.894 | INFO     | app.main:log_requests:35 - POST /api/v1/auth/login → 200 (4.467s)
2026-07-27 22:05:26.004 | WARNING  | app.core.dependencies:get_current_user:70 - Redis 不可用，跳过黑名单检查
2026-07-27 22:05:26.015 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:05:26.022 | INFO     | app.main:log_requests:35 - GET /api/v1/users → 200 (4.124s)
2026-07-27 22:05:31.969 | WARNING  | app.core.dependencies:get_current_user:70 - Redis 不可用，跳过黑名单检查
2026-07-27 22:05:31.978 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:05:31.990 | INFO     | app.main:log_requests:35 - GET /api/v1/roles → 200 (4.135s)
2026-07-27 22:06:08.275 | WARNING  | app.core.dependencies:get_current_user:70 - Redis 不可用，跳过黑名单检查
2026-07-27 22:06:08.287 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:06:08.294 | INFO     | app.main:log_requests:35 - GET /api/v1/users → 200 (4.104s)
2026-07-27 22:06:13.956 | INFO     | app.main:log_requests:35 - GET /api/v1/users → 401 (0.001s)
2026-07-27 22:07:14.444 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:07:14.453 | INFO     | app.main:log_requests:35 - GET /api/v1/users → 200 (0.033s)
2026-07-27 22:07:16.443 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:07:16.449 | INFO     | app.main:log_requests:35 - GET /api/v1/roles → 200 (0.021s)
2026-07-27 22:07:17.993 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:07:17.998 | INFO     | app.main:log_requests:35 - GET /api/v1/permissions → 200 (0.021s)
2026-07-27 22:07:19.304 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:07:19.313 | INFO     | app.main:log_requests:35 - GET /api/v1/roles → 200 (0.023s)
2026-07-27 22:07:21.685 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:07:21.691 | INFO     | app.main:log_requests:35 - GET /api/v1/users → 200 (0.015s)
2026-07-27 22:07:25.439 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:07:25.446 | INFO     | app.main:log_requests:35 - GET /api/v1/users → 200 (0.021s)
2026-07-27 22:07:56.593 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:07:56.599 | INFO     | app.main:log_requests:35 - GET /api/v1/menus → 200 (0.039s)
2026-07-27 22:07:57.748 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:07:57.751 | INFO     | app.main:log_requests:35 - GET /api/v1/permissions → 200 (0.015s)
2026-07-27 22:12:50.633 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:12:50.644 | INFO     | app.main:log_requests:35 - GET /api/v1/roles → 200 (0.024s)
2026-07-27 22:13:00.767 | DEBUG    | app.core.dependencies:get_current_user:106 - 用户认证成功
2026-07-27 22:13:00.774 | INFO     | app.main:log_requests:35 - GET /api/v1/roles → 200 (0.019s)
